match,tour,equipe_1,equipe_2,vainqueur,confiance,reel,score,decision
73,1/16 de finale,South Africa,Canada,Canada,100.0,True,0-1,
74,1/16 de finale,Germany,Paraguay,Paraguay,100.0,True,4-5,t.a.b.
75,1/16 de finale,Netherlands,Morocco,Morocco,100.0,True,3-4,t.a.b.
76,1/16 de finale,Brazil,Japan,Brazil,100.0,True,2-1,
77,1/16 de finale,France,Sweden,France,100.0,True,3-0,
78,1/16 de finale,Ivory Coast,Norway,Norway,100.0,True,1-2,
79,1/16 de finale,Mexico,Ecuador,Mexico,100.0,True,2-0,
80,1/16 de finale,England,DR Congo,England,100.0,True,2-1,
81,1/16 de finale,United States,Bosnia and Herzegovina,United States,100.0,True,2-0,
82,1/16 de finale,Belgium,Senegal,Belgium,100.0,True,3-2,a.p.
83,1/16 de finale,Portugal,Croatia,Portugal,50.70000076293945,False,,
84,1/16 de finale,Spain,Austria,Spain,81.80000305175781,False,,
85,1/16 de finale,Switzerland,Algeria,Switzerland,63.20000076293945,False,,
86,1/16 de finale,Argentina,Cape Verde,Argentina,72.0,False,,
87,1/16 de finale,Colombia,Ghana,Colombia,75.4000015258789,False,,
88,1/16 de finale,Australia,Egypt,Egypt,67.5,False,,
89,1/8 de finale,Paraguay,France,France,86.19999694824219,False,,
90,1/8 de finale,Canada,Morocco,Morocco,84.5999984741211,False,,
91,1/8 de finale,Brazil,Norway,Norway,50.900001525878906,False,,
92,1/8 de finale,Mexico,England,England,90.80000305175781,False,,
93,1/8 de finale,Portugal,Spain,Spain,67.0999984741211,False,,
94,1/8 de finale,United States,Belgium,Belgium,83.69999694824219,False,,
95,1/8 de finale,Argentina,Egypt,Argentina,72.4000015258789,False,,
96,1/8 de finale,Switzerland,Colombia,Switzerland,51.099998474121094,False,,
97,Quarts de finale,France,Morocco,France,57.099998474121094,False,,
98,Quarts de finale,Spain,Belgium,Spain,53.70000076293945,False,,
99,Quarts de finale,Norway,England,England,80.69999694824219,False,,
100,Quarts de finale,Argentina,Switzerland,Argentina,68.30000305175781,False,,
101,Demi-finales,France,Spain,Spain,85.19999694824219,False,,
102,Demi-finales,England,Argentina,Argentina,79.0999984741211,False,,
104,Finale,Spain,Argentina,Argentina,56.29999923706055,False,,
103,Petite finale,France,England,England,76.5999984741211,False,,
